biomass_2025_data,,,,,,,,
,plant_id,Rack,Airtemp,airtemp_factor,Nfert,Plant height (cm),Belowground_biomass_mg,Above ground biomass (g)
1,1D,top,37,High,0,13,79,0.18
2,2D,top,37,High,35,17,158.1,0.33
3,3D,top,37,High,70,18,195,0.65
4,4D,top,37,High,105,18,151.7,0.68
5,5D,top,37,High,140,20,117.7,0.62
6,6D,top,37,High,210,21.5,167.3,1.02
7,7D,top,37,High,280,23,187.2,0.63
8,8D,top,37,High,350,22,126.9,0.55
9,9D,top,37,High,630,21,183.8,0.88
10,10D,top,37,High,0,10,91.4,0.21
11,11D,top,37,High,35,17,173.4,0.32
12,12D,top,37,High,70,18,198.3,0.52
13,13D,top,37,High,105,16,130.9,0.54
14,14D,top,37,High,140,15,157.8,0.81
15,15D,top,37,High,210,17,154.1,0.83
16,16D,top,37,High,280,20,150.8,0.7
17,17D,top,37,High,350,21,137.2,0.77
18,18D,top,37,High,630,22,123.2,0.59
19,19D,down,37,High,0,10,86.3,0.25
20,20D,down,37,High,35,17,132,0.24
21,21D,down,37,High,70,18,266.5,0.51
22,22D,down,37,High,105,18.5,122.7,0.44
23,23D,down,37,High,140,17.5,89,0.44
24,24D,down,37,High,210,18,112.4,0.52
25,25D,down,37,High,280,18.5,94.5,0.77
26,26D,down,37,High,350,19.5,109.5,0.67
27,27D,down,37,High,630,20,128.8,0.68
28,28D,down,37,High,0,11,92.5,0.31
29,29D,down,37,High,35,12.5,225.8,0.32
30,30D,down,37,High,70,15,432,0.54
31,31D,down,37,High,105,16.5,286.9,0.71
32,32D,down,37,High,140,16.5,312.8,0.8
33,33D,down,37,High,210,16,255.5,0.77
34,34D,down,37,High,280,17,190.6,0.68
35,35D,down,37,High,350,16.5,184.4,0.76
36,36D,down,37,High,630,18,259.5,0.94
37,37D,top,23,Low,0,9.5,194,0.57
38,38D,top,23,Low,35,10.5,226.1,1.09
39,39D,top,23,Low,70,12.5,225.3,1.62
40,40D,top,23,Low,105,13,139.5,1.21
41,41D,top,23,Low,140,13.5,125.2,1.04
42,42D,top,23,Low,210,12,146.5,1.31
43,43D,top,23,Low,280,12.5,187.2,1.62
44,44D,top,23,Low,350,14.5,186.9,1.44
45,45D,top,23,Low,630,13.5,118.4,1.59
46,46D,top,23,Low,0,9.5,91.4,0.44
47,47D,top,23,Low,35,10,145.8,0.72
48,48D,top,23,Low,70,12,232.5,1.37
49,49D,top,23,Low,105,12.5,326.9,1.73
50,50D,top,23,Low,140,13.5,155.7,1.02
51,51D,top,23,Low,210,12.5,145.8,1.14
52,52D,top,23,Low,280,12,136.5,1.18
53,53D,top,23,Low,350,14.5,214.4,1.94
54,54D,top,23,Low,630,12.5,157.7,1.27
55,55D,down,23,Low,0,6.5,95.9,0.33
56,56D,down,23,Low,35,10,105.8,0.56
57,57D,down,23,Low,70,12.5,273.7,1.31
58,58D,down,23,Low,105,9.5,157,0.73
59,59D,down,23,Low,140,12,152,1.19
60,60D,down,23,Low,210,13.5,192.2,1.46
61,61D,down,23,Low,280,14,129.4,1.15
62,62D,down,23,Low,350,12.5,131.1,1.24
63,63D,down,23,Low,630,11,83.7,1.08
64,64D,down,23,Low,0,9,106.1,0.43
65,65D,down,23,Low,35,10,199.6,0.75
66,66D,down,23,Low,70,13.5,221.8,1.33
67,67D,down,23,Low,105,12.5,194.9,1.19
68,68D,down,23,Low,140,14.5,198.9,1.55
69,69D,down,23,Low,210,17,181.7,1.59
70,70D,down,23,Low,280,15,128.8,1.25
71,71D,down,23,Low,350,15,142,1.47
72,72D,down,23,Low,630,15,124.4,1.23
73,73D,top,30,Medium,0,12,255,0.87
74,74D,top,30,Medium,35,16.5,113.3,0.98
75,75D,top,30,Medium,70,19,142,1.35
76,76D,top,30,Medium,105,18.5,63.6,1.32
77,77D,top,30,Medium,140,19,284.1,1.27
78,78D,top,30,Medium,210,20,112,1.6
79,79D,top,30,Medium,280,22.5,564.4,2.2
80,80D,top,30,Medium,350,21.5,487,2.18
81,81D,top,30,Medium,630,19.5,93.1,1.88
82,82D,top,30,Medium,0,7.5,165.4,0.26
83,83D,top,30,Medium,35,15.5,113.3,1.12
84,84D,top,30,Medium,70,16.5,82.4,0.93
85,85D,top,30,Medium,105,14,117.8,0.65
86,86D,top,30,Medium,140,16,51.1,0.77
87,87D,top,30,Medium,210,18.5,89.5,1.57
88,88D,top,30,Medium,280,17.5,24.2,1.13
89,89D,top,30,Medium,350,17,290.8,1.58
90,90D,top,30,Medium,630,18.5,368.2,1.62
91,91D,down,30,Medium,0,7,107.5,0.22
92,92D,down,30,Medium,35,16,225,1.18
93,93D,down,30,Medium,70,16.5,65.3,0.81
94,94D,down,30,Medium,105,16,117.8,0.88
95,95D,down,30,Medium,140,16,70.3,0.81
96,96D,down,30,Medium,210,16,184.1,0.82
97,97D,down,30,Medium,280,16,51.7,0.74
98,98D,down,30,Medium,350,17,58.6,1.23
99,99D,down,30,Medium,630,16.5,60.8,0.85
100,100D,down,30,Medium,0,10,161.6,0.29
101,101D,down,30,Medium,35,11.5,242,0.97
102,102D,down,30,Medium,70,15,257.8,1.31
103,103D,down,30,Medium,105,16.5,173.9,0.98
104,104D,down,30,Medium,140,16.5,119.7,1.08
105,105D,down,30,Medium,210,14.5,77.7,0.73
106,106D,down,30,Medium,280,15,67.9,0.91
107,107D,down,30,Medium,350,15.5,56.8,0.8
108,108D,down,30,Medium,630,15.5,24.6,0.94